url,name,beam,frequency,symbol_rate,forward_error_correction,video_encoding,language,encryption,ch_type
https://www.lyngsat.com/radiochannels/ae/Sharjah-Radio.html,Sharjah Radio,EMEA,3934 L,27500,8-Jul,,Ara,,radio
https://www.lyngsat.com/radiochannels/af/Afghanistan-National-Radio.html,Afghanistan National Radio,East,12015 H,27500,4-Mar,,,,radio
https://www.lyngsat.com/radiochannels/af/Arakozia-FM.html,Arakozia FM,East,11938 H,27500,4-Mar,,,,radio
https://www.lyngsat.com/radiochannels/af/Arezo-Radio.html,Arezo Radio,East,12015 H,27500,4-Mar,,,,radio
https://www.lyngsat.com/radiochannels/af/Ariana-FM.html,Ariana FM,East,12015 H,27500,4-Mar,,,,radio
https://www.lyngsat.com/radiochannels/af/Arman-FM.html,Arman FM,East,11938 H,27500,4-Mar,,,,radio
https://www.lyngsat.com/radiochannels/af/Radio-Jawanan.html,Radio Jawanan,East,10845 V,27500,3-Feb,,,,radio
https://www.lyngsat.com/radiochannels/af/Radio-Killid-Kabul.html,Radio Killid Kabul,East,12015 H,27500,4-Mar,,,,radio
https://www.lyngsat.com/radiochannels/af/Radio-Nawa-FM.html,Radio Nawa FM,East,11938 H,27500,4-Mar,,,,radio
https://www.lyngsat.com/radiochannels/af/RTA-Education-Radio.html,RTA Education Radio,East,12015 H,27500,4-Mar,,,,radio
https://www.lyngsat.com/radiochannels/af/RTA-Taranum-Radio.html,RTA Taranum Radio,East,12015 H,27500,4-Mar,,,,radio
https://www.lyngsat.com/radiochannels/af/Sabawoon-Radi.html,Sabawoon Radi,East,12015 H,27500,4-Mar,,,,radio
https://www.lyngsat.com/radiochannels/af/Salam-Watandar.html,Salam Watandar,East,12015 H,27500,4-Mar,,Per,,radio
https://www.lyngsat.com/radiochannels/af/Shamshad-FM.html,Shamshad FM,East,12015 H,27500,4-Mar,,,,radio
https://www.lyngsat.com/radiochannels/af/Voice-of-Sharia.html,Voice of Sharia,East,12015 H,27500,4-Mar,,,,radio
https://www.lyngsat.com/radiochannels/af/Zhwandoon-Radio.html,Zhwandoon Radio,East,12015 H,27500,4-Mar,,Pus,,radio
https://www.lyngsat.com/radiochannels/al/My-Music-Radio.html,My Music Radio,Europe B,10804 H,29950,3-Feb,,Alb,,radio
https://www.lyngsat.com/radiochannels/al/Top-Albania-Radio.html,Top Albania Radio,Europe B,10762 H,30000,5-Mar,,Alb,,radio
https://www.lyngsat.com/radiochannels/al/Top-Gold-Radio.html,Top Gold Radio,Europe B,10762 H,30000,5-Mar,,Alb,,radio
https://www.lyngsat.com/radiochannels/am/Public-Radio-of-Armenia.html,Public Radio of Armenia,Central Asia,11050 H,19210,2-Jan,,Arm,,radio
https://www.lyngsat.com/radiochannels/am/Radio-Arevik.html,Radio Arevik,Central Asia,11050 H,19210,2-Jan,,Arm,,radio
https://www.lyngsat.com/radiochannels/am/Yerevan-FM.html,Yerevan FM,Central Asia,11050 H,19210,2-Jan,,Arm,,radio
https://www.lyngsat.com/radiochannels/ar/Aspen-1015.html,Aspen 101.5,Americas & Europe,3983 H,16415,4-Mar,,Spa,Irdeto,radio
https://www.lyngsat.com/radiochannels/ar/Aspen-1023.html,Aspen 102.3,Americas & Europe,3983 H,16415,4-Mar,,Spa,Irdeto,radio
https://www.lyngsat.com/radiochannels/ar/Cadena-3.html,Cadena 3,0,11639 H,30000,3-Feb,,,,radio
https://www.lyngsat.com/radiochannels/ar/La-100.html,La 100,0,11679 H,30000,3-Feb,,Spa,,radio
https://www.lyngsat.com/radiochannels/ar/La-Red-AM-910.html,La Red AM 910,Americas & Europe,3983 H,16415,4-Mar,,Spa,Irdeto,radio
https://www.lyngsat.com/radiochannels/ar/Mitre.html,Mitre,0,11679 H,30000,3-Feb,,Spa,,radio
https://www.lyngsat.com/radiochannels/ar/Radio-Nacional-Argentina.html,Radio Nacional Argentina,0,11639 H,30000,3-Feb,,,,radio
https://www.lyngsat.com/radiochannels/ar/RQP-Bolivia.html,RQP Bolivia,Americas & Europe,4137 H,2000,3-Feb,,Spa,,radio
https://www.lyngsat.com/radiochannels/ar/RQP-Paraguay.html,RQP Paraguay,Americas C,4186 H,4960,3-Feb,,Spa,BISS,radio
https://www.lyngsat.com/radiochannels/au/ABC-Classic.html,ABC Classic,NB,12470 H,Stream 126,,,Eng,,radio
https://www.lyngsat.com/radiochannels/au/ABC-Country.html,ABC Country,NB,12470 H,Stream 126,,,Eng,,radio
https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,ABC Double J,NB,12470 H,Stream 126,,,Eng,,radio
https://www.lyngsat.com/radiochannels/au/ABC-Jazz.html,ABC Jazz,NB,12470 H,Stream 126,,,Eng,,radio
https://www.lyngsat.com/radiochannels/au/ABC-Kids-listen.html,ABC Kids listen,NB,12470 H,Stream 126,,,Eng,,radio
https://www.lyngsat.com/radiochannels/au/ABC-NewsRadio.html,ABC NewsRadio,NB,12470 H,Stream 126,,,Eng,,radio
https://www.lyngsat.com/radiochannels/au/ABC-Radio-Adelaide.html,ABC Radio Adelaide,NB,12470 H,Stream 122,,,Eng,,radio
https://www.lyngsat.com/radiochannels/au/ABC-Radio-Brisbane.html,ABC Radio Brisbane,NB,12470 H,Stream 126,,,Eng,,radio
https://www.lyngsat.com/radiochannels/au/ABC-Radio-Darwin.html,ABC Radio Darwin,NB,12470 H,Stream 123,,,Eng,,radio
